Titulo;Categoria;Precio;Nombre autor;Fecha edicion;Cant Paginas
El misterio del faro;Misterio;15000.99;Ana García;2023/08/12;320
La herencia perdida;Aventura;12000.50;Juan Martínez;2022/11/05;270
Secretos en París;Romance;90000.99;María López;2024/02/20;400
El último reino;Fantasía;18000.75;Carlos Ruiz;2023/06/10;380
Aprendiendo a volar;Autoayuda;14000.25;Elena Sánchez;2024/01/15;280
Cocina del mundo;Cocina;20000.00;Pedro Gómez;2022/09/30;240
El código perdido;Ciencia ficción;162222.50;Sofía Pérez;2023/04/18;350
En busca del tesoro;Aventura;11222.99;Luisa Fernández;2024/03/22;300
La casa del lago;Misterio;13333.75;Javier Rodríguez;2022/06/08;310
Flores en primavera;Romance;85000.09;Ana Martín;2024/05/10;360
