Titulo;Categoria;Precio;Tiempo en minutos;Nombre narrador
El misterio del faro;Misterio;15.99;480;Ana García
La herencia perdida;Aventura;12.50;360;Juan Martínez
Secretos en París;Romance;9.99;540;María López
El último reino;Fantasía;18.75;420;Carlos Ruiz
Aprendiendo a volar;Autoayuda;14.25;300;Elena Sánchez
Cocina del mundo;Cocina;20.00;600;Pedro Gómez
El código perdido;Ciencia ficción;16.50;480;Sofía Pérez
En busca del tesoro;Aventura;11.99;360;Luisa Fernández
La casa del lago;Misterio;13.75;420;Javier Rodríguez
Flores;Romance;8.50;480;Ana Martín
